;matches_home_team_id;home_team_name;home_mens_team;home_womens_team;home_womens_team;home_region_name
;T-05;Austria;1;0;0;Europe
;T-05;Austria;1;0;0;Europe
;T-84;Uruguay;1;0;0;South America
;T-84;Uruguay;1;0;0;South America
;T-84;Uruguay;1;0;0;South America
;T-84;Uruguay;1;0;0;South America
;T-84;Uruguay;1;0;0;South America
;T-84;Uruguay;1;0;0;South America
;T-36;Hungary;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-05;Austria;1;0;0;Europe
;T-05;Austria;1;0;0;Europe
;T-05;Austria;1;0;0;Europe
;T-05;Austria;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-74;Sweden;1;1;1;Europe
;T-74;Sweden;1;1;1;Europe
;T-74;Sweden;1;1;1;Europe
;T-03;Argentina;1;1;1;South America
;T-03;Argentina;1;1;1;South America
;T-03;Argentina;1;1;1;South America
;T-03;Argentina;1;1;1;South America
;T-52;Northern Ireland;1;0;0;Europe
;T-30;France;1;1;1;Europe
;T-30;France;1;1;1;Europe
;T-30;France;1;1;1;Europe
;T-30;France;1;1;1;Europe
;T-30;France;1;1;1;Europe
;T-30;France;1;1;1;Europe
;T-30;France;1;1;1;Europe
;T-30;France;1;1;1;Europe
;T-30;France;1;1;1;Europe
;T-30;France;1;1;1;Europe
;T-87;Yugoslavia;1;0;0;Europe
;T-87;Yugoslavia;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-72;Soviet Union;1;0;0;Europe, Asia
;T-72;Soviet Union;1;0;0;Europe, Asia
;T-72;Soviet Union;1;0;0;Europe, Asia
;T-72;Soviet Union;1;0;0;Europe, Asia
;T-03;Argentina;1;1;1;South America
;T-03;Argentina;1;1;1;South America
;T-03;Argentina;1;1;1;South America
;T-03;Argentina;1;1;1;South America
;T-86;West Germany;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-55;Paraguay;1;0;0;South America
;T-55;Paraguay;1;0;0;South America
;T-55;Paraguay;1;0;0;South America
;T-55;Paraguay;1;0;0;South America
;T-55;Paraguay;1;0;0;South America
;T-87;Yugoslavia;1;0;0;Europe
;T-87;Yugoslavia;1;0;0;Europe
;T-87;Yugoslavia;1;0;0;Europe
;T-87;Yugoslavia;1;0;0;Europe
;T-87;Yugoslavia;1;0;0;Europe
;T-46;Mexico;1;1;1;North America
;T-46;Mexico;1;1;1;North America
;T-09;Brazil;1;1;1;South America
;T-72;Soviet Union;1;0;0;Europe, Asia
;T-72;Soviet Union;1;0;0;Europe, Asia
;T-74;Sweden;1;1;1;Europe
;T-74;Sweden;1;1;1;Europe
;T-74;Sweden;1;1;1;Europe
;T-74;Sweden;1;1;1;Europe
;T-21;Czechoslovakia;1;0;0;Europe
;T-21;Czechoslovakia;1;0;0;Europe
;T-21;Czechoslovakia;1;0;0;Europe
;T-21;Czechoslovakia;1;0;0;Europe
;T-21;Czechoslovakia;1;0;0;Europe
;T-21;Czechoslovakia;1;0;0;Europe
;T-21;Czechoslovakia;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-30;France;1;1;1;Europe
;T-30;France;1;1;1;Europe
;T-30;France;1;1;1;Europe
;T-55;Paraguay;1;0;0;South America
;T-55;Paraguay;1;0;0;South America
;T-55;Paraguay;1;0;0;South America
;T-55;Paraguay;1;0;0;South America
;T-55;Paraguay;1;0;0;South America
;T-55;Paraguay;1;0;0;South America
;T-36;Hungary;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-28;England;1;1;1;Europe
;T-28;England;1;1;1;Europe
;T-28;England;1;1;1;Europe
;T-28;England;1;1;1;Europe
;T-52;Northern Ireland;1;0;0;Europe
;T-52;Northern Ireland;1;0;0;Europe
;T-52;Northern Ireland;1;0;0;Europe
;T-85;Wales;1;0;0;Europe
;T-85;Wales;1;0;0;Europe
;T-85;Wales;1;0;0;Europe
;T-72;Soviet Union;1;0;0;Europe, Asia
;T-09;Brazil;1;1;1;South America
;T-30;France;1;1;1;Europe
;T-30;France;1;1;1;Europe
;T-30;France;1;1;1;Europe
;T-30;France;1;1;1;Europe
;T-74;Sweden;1;1;1;Europe
;T-74;Sweden;1;1;1;Europe
;T-86;West Germany;1;0;0;Europe
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-74;Sweden;1;1;1;Europe
;T-74;Sweden;1;1;1;Europe
;T-74;Sweden;1;1;1;Europe
;T-74;Sweden;1;1;1;Europe
;T-30;France;1;1;1;Europe
;T-30;France;1;1;1;Europe
;T-30;France;1;1;1;Europe
;T-30;France;1;1;1;Europe
;T-30;France;1;1;1;Europe
;T-30;France;1;1;1;Europe
;T-30;France;1;1;1;Europe
;T-30;France;1;1;1;Europe
;T-30;France;1;1;1;Europe
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-84;Uruguay;1;0;0;South America
;T-84;Uruguay;1;0;0;South America
;T-84;Uruguay;1;0;0;South America
;T-13;Chile;1;1;1;South America
;T-13;Chile;1;1;1;South America
;T-13;Chile;1;1;1;South America
;T-13;Chile;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-03;Argentina;1;1;1;South America
;T-72;Soviet Union;1;0;0;Europe, Asia
;T-72;Soviet Union;1;0;0;Europe, Asia
;T-86;West Germany;1;0;0;Europe
;T-21;Czechoslovakia;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-87;Yugoslavia;1;0;0;Europe
;T-87;Yugoslavia;1;0;0;Europe
;T-87;Yugoslavia;1;0;0;Europe
;T-87;Yugoslavia;1;0;0;Europe
;T-13;Chile;1;1;1;South America
;T-13;Chile;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-28;England;1;1;1;Europe
;T-28;England;1;1;1;Europe
;T-28;England;1;1;1;Europe
;T-28;England;1;1;1;Europe
;T-72;Soviet Union;1;0;0;Europe, Asia
;T-72;Soviet Union;1;0;0;Europe, Asia
;T-72;Soviet Union;1;0;0;Europe, Asia
;T-72;Soviet Union;1;0;0;Europe, Asia
;T-72;Soviet Union;1;0;0;Europe, Asia
;T-72;Soviet Union;1;0;0;Europe, Asia
;T-72;Soviet Union;1;0;0;Europe, Asia
;T-72;Soviet Union;1;0;0;Europe, Asia
;T-86;West Germany;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-73;Spain;1;1;1;Europe
;T-36;Hungary;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-72;Soviet Union;1;0;0;Europe, Asia
;T-72;Soviet Union;1;0;0;Europe, Asia
;T-72;Soviet Union;1;0;0;Europe, Asia
;T-86;West Germany;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-36;Hungary;1;0;0;Europe
;T-87;Yugoslavia;1;0;0;Europe
;T-87;Yugoslavia;1;0;0;Europe
;T-87;Yugoslavia;1;0;0;Europe
;T-87;Yugoslavia;1;0;0;Europe
;T-87;Yugoslavia;1;0;0;Europe
;T-41;Italy;1;1;1;Europe
;T-41;Italy;1;1;1;Europe
;T-41;Italy;1;1;1;Europe
;T-46;Mexico;1;1;1;North America
;T-46;Mexico;1;1;1;North America
;T-46;Mexico;1;1;1;North America
;T-46;Mexico;1;1;1;North America
;T-28;England;1;1;1;Europe
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-13;Chile;1;1;1;South America
;T-13;Chile;1;1;1;South America
;T-13;Chile;1;1;1;South America
;T-21;Czechoslovakia;1;0;0;Europe
;T-87;Yugoslavia;1;0;0;Europe
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-21;Czechoslovakia;1;0;0;Europe
;T-21;Czechoslovakia;1;0;0;Europe
;T-21;Czechoslovakia;1;0;0;Europe
;T-21;Czechoslovakia;1;0;0;Europe
;T-13;Chile;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-28;England;1;1;1;Europe
;T-86;West Germany;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-72;Soviet Union;1;0;0;Europe, Asia
;T-72;Soviet Union;1;0;0;Europe, Asia
;T-72;Soviet Union;1;0;0;Europe, Asia
;T-30;France;1;1;1;Europe
;T-30;France;1;1;1;Europe
